# Chua circuit — regime 1: fixed_point
time_ms,x_V,y_V,z_V
30741.365,-1.2705,0.0836,0.1508
30741.396,-1.2692,0.0836,0.1508
30741.426,-1.2705,0.0836,0.1508
30741.455,-1.2705,0.0849,0.1532
30741.486,-1.2680,0.0861,0.1520
30741.516,-1.2705,0.1007,0.1777
30741.547,-1.2680,0.0824,0.1545
30741.576,-1.2692,0.0824,0.1520
30741.605,-1.2705,0.0788,0.1545
30741.637,-1.2705,0.0861,0.1532
30741.666,-1.2692,0.0849,0.1606
30741.695,-1.2705,0.1032,0.1520
30741.727,-1.2692,0.0824,0.1545
30741.756,-1.2692,0.0836,0.1508
30741.785,-1.2680,0.0849,0.1508
30741.816,-1.2705,0.0836,0.1520
30741.846,-1.2705,0.0836,0.1508
30741.877,-1.2680,0.0861,0.1545
30741.906,-1.2692,0.0885,0.1532
30741.936,-1.2705,0.0849,0.1532
30741.967,-1.2705,0.0849,0.1508
30741.996,-1.2705,0.0836,0.1508
30742.025,-1.2680,0.0861,0.1532
30742.057,-1.2705,0.0849,0.1520
30742.086,-1.2680,0.0873,0.1545
30742.115,-1.2692,0.0849,0.1520
30742.146,-1.2680,0.0849,0.1508
30742.176,-1.2705,0.0861,0.1545
30742.205,-1.2692,0.0824,0.1508
30742.236,-1.2692,0.0849,0.1520
30742.266,-1.2692,0.0861,0.1532
30742.297,-1.2692,0.0849,0.1520
30742.326,-1.2692,0.0861,0.1532
30742.355,-1.2692,0.0861,0.1532
30742.387,-1.2692,0.0849,0.1532
30742.416,-1.2692,0.0849,0.1532
30742.445,-1.2692,0.0836,0.1520
30742.477,-1.2705,0.0836,0.1520
30742.506,-1.2692,0.0836,0.1532
30742.535,-1.2692,0.0861,0.1532
30742.566,-1.2692,0.0849,0.1545
30742.596,-1.2692,0.0849,0.1532
30742.627,-1.2668,0.0849,0.1520
30742.656,-1.2680,0.0849,0.1532
30742.686,-1.2680,0.0861,0.1532
30742.717,-1.2692,0.0861,0.1532
30742.746,-1.2680,0.0861,0.1520
30742.775,-1.2705,0.0824,0.1496
30742.807,-1.2692,0.0824,0.1508
30742.836,-1.2692,0.0849,0.1508
30742.865,-1.2717,0.0836,0.1508
30742.896,-1.2692,0.0861,0.1520
30742.926,-1.2692,0.0861,0.1545
30742.955,-1.2692,0.0861,0.1532
30742.986,-1.2692,0.0873,0.1520
30743.016,-1.2692,0.0885,0.1532
