# Chua circuit — regime 3: period_doubled
time_ms,x_V,y_V,z_V
133047.297,-1.0409,0.4731,0.4475
133047.359,-0.2241,0.2033,0.0238
133047.406,-0.3120,-0.1374,-0.1764
133047.453,-1.5427,-0.1850,0.0409
133047.500,-1.8651,0.1789,0.4463
133047.547,-1.0702,0.4402,0.4109
133047.594,-0.4133,0.1642,-0.0043
133047.641,-0.9530,-0.2082,-0.1825
133047.703,-1.9298,-0.1325,0.1728
133047.750,-1.7833,0.3254,0.5415
133047.797,-0.7491,0.4475,0.3376
133047.844,-0.1007,0.0922,-0.0653
133047.891,-0.6441,-0.1984,-0.1667
133047.953,-1.7711,-0.1203,0.1569
133048.000,-1.7161,0.2900,0.5012
133048.047,-0.8126,0.4109,0.3193
133048.094,-0.3962,0.0617,-0.0824
133048.156,-1.2289,-0.2424,-0.1374
133048.203,-2.0299,-0.0336,0.2924
133048.250,-1.5220,0.4194,0.5464
133048.297,-0.5232,0.3706,0.2094
133048.359,-0.0897,-0.0140,-0.1252
133048.406,-1.0348,-0.2204,-0.1093
133048.453,-1.8944,-0.0116,0.2863
133048.500,-1.4890,0.3816,0.5061
133048.547,-0.6148,0.3364,0.1935
133048.594,-0.4951,-0.0592,-0.1642
133048.641,-1.5391,-0.2424,-0.0275
133048.703,-2.0336,0.1032,0.4194
133048.750,-1.2558,0.4670,0.5061
133048.797,-0.3413,0.2753,0.1044
133048.844,-0.1703,-0.0836,-0.1667
133048.891,-1.3523,-0.2155,-0.0238
133048.953,-1.9090,0.1093,0.3987
133049.000,-1.2302,0.4255,0.4634
133049.047,-0.4829,0.2411,0.0751
133049.094,-0.7405,-0.1557,-0.1911
133049.156,-1.7967,-0.1935,0.0763
133049.203,-1.9286,0.2350,0.5098
133049.250,-0.9505,0.4756,0.4170
133049.297,-0.1838,0.1679,-0.0067
133049.359,-0.4109,-0.1679,-0.1825
133049.406,-1.6294,-0.1679,0.0812
133049.453,-1.8260,0.2253,0.4780
133049.500,-0.9774,0.4390,0.3962
133049.547,-0.4011,0.1410,-0.0238
133049.594,-1.0556,-0.2228,-0.1777
133049.641,-1.9774,-0.0995,0.2143
133049.703,-1.7076,0.3547,0.5513
133049.750,-0.6709,0.4280,0.2998
133049.797,-0.0800,0.0592,-0.0861
133049.844,-0.7662,-0.2094,-0.1532
133049.891,-1.8175,-0.0873,0.1996
133049.953,-1.6563,0.3156,0.5024
