# Chua circuit — regime 2: limit_cycle
time_ms,x_V,y_V,z_V
121419.055,-1.9505,0.0201,0.3535
121419.102,-1.3877,0.4206,0.4670
121419.148,-0.5842,0.2009,0.0092
121419.203,-1.0702,-0.2118,-0.1459
121419.258,-1.9225,-0.0311,0.3034
121419.305,-1.4951,0.3999,0.4902
121419.352,-0.6209,0.2546,0.0617
121419.406,-0.9603,-0.1874,-0.1654
121419.453,-1.8956,-0.0641,0.2656
121419.508,-1.5647,0.3816,0.5012
121419.555,-0.6526,0.2790,0.0971
121419.602,-0.8932,-0.1691,-0.1728
121419.656,-1.8407,-0.1093,0.2118
121419.703,-1.6612,0.3535,0.5122
121419.750,-0.7161,0.3278,0.1545
121419.805,-0.7991,-0.1337,-0.1789
121419.859,-1.7698,-0.1471,0.1532
121419.906,-1.7503,0.3132,0.5085
121419.953,-0.7943,0.3620,0.2094
121420.000,-0.7161,-0.0922,-0.1740
121420.055,-1.6856,-0.1801,0.0983
121420.102,-1.8236,0.2851,0.5085
121420.148,-0.8516,0.3828,0.2448
121420.211,-0.6685,-0.0592,-0.1654
121420.258,-1.6197,-0.1984,0.0629
121420.305,-1.8651,0.2363,0.4939
121420.352,-0.9457,0.4084,0.2985
121420.398,-0.6136,-0.0116,-0.1459
121420.453,-1.5208,-0.2143,0.0128
121420.508,-1.9127,0.1874,0.4707
121420.555,-1.0482,0.4243,0.3486
121420.609,-0.5781,0.0385,-0.1203
121420.656,-1.4158,-0.2314,-0.0348
121420.703,-1.9420,0.1325,0.4365
121420.750,-1.1569,0.4304,0.3767
121420.797,-0.5647,0.0726,-0.0958
121420.859,-1.3413,-0.2326,-0.0617
121420.906,-1.9530,0.0983,0.4158
121420.953,-1.2302,0.4328,0.4206
121421.008,-0.5623,0.1276,-0.0568
121421.055,-1.2302,-0.2314,-0.1032
121421.102,-1.9542,0.0458,0.3645
121421.148,-1.3400,0.4243,0.4548
121421.203,-0.5757,0.1813,-0.0116
121421.258,-1.1203,-0.2204,-0.1337
121421.305,-1.9347,-0.0079,0.3266
121421.352,-1.4585,0.4133,0.4829
121421.406,-0.6038,0.2302,0.0348
