# Chua circuit — regime 1: fixed_point
time_ms,x_V,y_V,z_V
109977.102,-1.2619,0.1081,0.1777
109977.148,-1.2607,0.1142,0.1813
109977.203,-1.2595,0.1093,0.1813
109977.258,-1.2595,0.1068,0.1752
109977.305,-1.2595,0.1044,0.1703
109977.352,-1.2619,0.1056,0.1728
109977.406,-1.2607,0.1093,0.1764
109977.453,-1.2595,0.1093,0.1789
109977.508,-1.2570,0.1093,0.1764
109977.555,-1.2607,0.1081,0.1716
109977.602,-1.2631,0.1068,0.1691
109977.656,-1.2619,0.1032,0.1740
109977.703,-1.2619,0.1056,0.1764
109977.750,-1.2595,0.1105,0.1764
109977.805,-1.2595,0.1081,0.1764
109977.859,-1.2595,0.1093,0.1789
109977.906,-1.2595,0.1032,0.1728
109977.953,-1.2595,0.1056,0.1740
109978.000,-1.2607,0.1093,0.1777
109978.055,-1.2607,0.1105,0.1801
109978.102,-1.2595,0.1093,0.1789
109978.148,-1.2595,0.1044,0.1716
109978.211,-1.2595,0.1044,0.1716
109978.258,-1.2619,0.1093,0.1752
109978.305,-1.2619,0.1068,0.1789
109978.352,-1.2619,0.1081,0.1764
109978.398,-1.2582,0.1044,0.1740
109978.453,-1.2607,0.1068,0.1728
109978.508,-1.2631,0.0995,0.1789
109978.555,-1.2619,0.1020,0.1740
109978.609,-1.2595,0.1081,0.1764
109978.656,-1.2619,0.1081,0.1777
109978.703,-1.2631,0.1093,0.1789
109978.750,-1.2595,0.1056,0.1752
109978.797,-1.2607,0.1032,0.1716
109978.859,-1.2582,0.1068,0.1740
109978.906,-1.2631,0.1093,0.1777
109978.953,-1.2595,0.1068,0.1801
109979.008,-1.2595,0.1081,0.1752
109979.055,-1.2607,0.1056,0.1752
109979.102,-1.2619,0.1093,0.1728
109979.148,-1.2607,0.1044,0.1752
109979.203,-1.2607,0.1044,0.1740
109979.258,-1.2607,0.1068,0.1740
109979.305,-1.2607,0.1081,0.1752
109979.352,-1.2607,0.1068,0.1728
109979.406,-1.2631,0.1020,0.1728
109979.453,-1.2607,0.1068,0.1764
109979.508,-1.2643,0.1068,0.1752
109979.555,-1.2595,0.1093,0.1789
109979.602,-1.2595,0.1056,0.1752
109979.656,-1.2595,0.1044,0.1740
109979.703,-1.2619,0.1068,0.1691
109979.750,-1.2631,0.1081,0.1740
109979.805,-1.2595,0.1068,0.1789
109979.859,-1.2570,0.1093,0.1764
109979.906,-1.2595,0.1093,0.1752
109979.953,-1.2631,0.1068,0.1716
109980.000,-1.2607,0.1056,0.1764
109980.055,-1.2619,0.1044,0.1740
109980.102,-1.2607,0.1068,0.1740
